name	description	source	directory_key	path	sha256	bytes	active_index	user_config_enabled	project_config_enabled
git-version-control	Git commit standards, branch strategy, and LLM-assisted development workflows. Use when making commits, managing branches, or working in high-velocity LLM-assisted development contexts. Covers atomic commits, conventional commits, branching strategies (trunk-based, GitHub flow), merge vs rebase decisions, and recovery patterns.	user_agents	git-version-control	/Users/bilibili/.agents/skills/git-version-control/SKILL.md	978305059984b234ac15d180c88a1af290b1c177d22b375c6935dd7104ca6f30	14001	False	False	
git-workflow	"This skill should be used when the user asks to ""create git commit"", ""manage branches"", ""follow git workflow"", ""use Conventional Commits"", ""handle merge conflicts"", or asks about git branching strategies, version control best practices, pull request workflows. Provides comprehensive Git workflow guidance for team collaboration."	user_agents	git-workflow	/Users/bilibili/.agents/skills/git-workflow/SKILL.md	bf38f307d02a5567e41faa7b54fde518fd59cec635f4c7676d99d8e9a8494c95	11972	True		
hf-cli	Hugging Face Hub CLI (`hf`) for downloading, uploading, and managing models, datasets, spaces, buckets, repos, papers, jobs, and more on the Hugging Face Hub. Use when: handling authentication; managing local cache; managing Hugging Face Buckets; running or scheduling jobs on Hugging Face infrastructure; managing Hugging Face repos; discussions and pull requests; browsing models, datasets and spaces; reading, searching, or browsing academic papers; managing collections; querying datasets; configuring spaces; setting up webhooks; or deploying and managing HF Inference Endpoints. Make sure to use this skill whenever the user mentions 'hf', 'huggingface', 'Hugging Face', 'huggingface-cli', or 'hugging face cli', or wants to do anything related to the Hugging Face ecosystem and to AI and ML in general. Also use for cloud storage needs like training checkpoints, data pipelines, or agent traces. Use even if the user doesn't explicitly ask for a CLI command. Replaces the deprecated `huggingface-cli`.	user_agents	hf-cli	/Users/bilibili/.agents/skills/hf-cli/SKILL.md	a6b3fcf3bd0a6164aeda357f483295638cbaee54f56f0cec13462e647920ec37	31579	True		
hf-cloud-aws-context-discovery	"Discover the user's local AWS context (active profile, region, account ID, caller identity) at the start of any AWS task. Use this skill before any other AWS work — deploying to SageMaker, creating resources, calling AWS APIs, or anything that touches an AWS account. Use it especially when the user has not specified a region or profile explicitly, when they say things like ""use my AWS account"", ""deploy to AWS"", ""use my profile"", or when about to make any AWS CLI or SDK call. Never guess the region or account ID — always use this skill to read it from the local configuration first."	user_agents	hf-cloud-aws-context-discovery	/Users/bilibili/.agents/skills/hf-cloud-aws-context-discovery/SKILL.md	6b59128ea1834913b01ff6752d52e529d304ee6086e2edec5c7ce451f7a14dff	3972	False	False	
hf-cloud-python-env-setup	"Set up an isolated Python environment for SageMaker / AWS work, with the right Python version and current boto3. Use this skill whenever Python code will be executed for a SageMaker deployment, training job, or any AWS automation — including when about to run `pip install`, when about to invoke `boto3`, when creating or activating a virtualenv, or when the user asks to ""set up the environment"". Never use system Python and never `pip install` into it. Always isolate. This skill prevents the most common failure modes: wrong Python version, dependency conflicts, and stale SDKs."	user_agents	hf-cloud-python-env-setup	/Users/bilibili/.agents/skills/hf-cloud-python-env-setup/SKILL.md	c5d108b134dc5237ec63fbbb3200717853f2c5281ab33b7a2f1576b46a4d0fe8	6723	True		
hf-cloud-sagemaker-deployment-planner	"Plan and coordinate the deployment of a model to Amazon SageMaker AI. Use this skill whenever the user wants to deploy, host, serve, or expose a model on SageMaker or AWS — including phrases like ""deploy a model"", ""host this LLM on AWS"", ""serve this embedding model"", ""deploy a reranker"", ""deploy a text-to-image / diffusion model"", ""host this for async inference"", ""create an endpoint"", ""serve my fine-tuned model"", or any request that involves making a model available for inference on AWS. Use this even when the user is vague (e.g. ""I just want to get this running on AWS, you figure it out""). Works for text-generation LLMs, embedding models, rerankers, classifiers, text-to-image / diffusion models — picks the right serving stack and chooses between real-time and async inference. This is the entry-point skill for SageMaker deployment work — it asks clarifying questions, picks a deployment pathway, and coordinates the other deployment skills."	user_agents	hf-cloud-sagemaker-deployment-planner	/Users/bilibili/.agents/skills/hf-cloud-sagemaker-deployment-planner/SKILL.md	ee51349e7a21980f8eda6fc7790df875d3b8ce0aedbcf8f74982402eae40b9a9	7516	True		
hf-cloud-sagemaker-iam-preflight	Ensure a usable SageMaker execution role exists before deploying or training. Use this skill whenever about to create a SageMaker endpoint, model, training job, or any resource that requires an execution role. Use it especially when the user has not provided a role ARN explicitly, when scripts are about to call `iam:CreateRole`, or when an AccessDenied error mentions an IAM action. Never blindly call `iam:CreateRole` — always check for existing roles first. This skill prevents the most common SageMaker deployment failure: trying to create IAM resources from an SSO principal that has no IAM write permissions.	user_agents	hf-cloud-sagemaker-iam-preflight	/Users/bilibili/.agents/skills/hf-cloud-sagemaker-iam-preflight/SKILL.md	192add8e50e87b5055576f12e5ac41b1a2bc5d168dc35e51c1db618c5afd1d0f	6807	True		
hf-cloud-sagemaker-production-defaults	Create a SageMaker endpoint (real-time or async) with autoscaling, CloudWatch alarms, and tagging enabled by default. Use this skill whenever about to create a SageMaker endpoint, write deployment code that calls `create_endpoint`, or finalize a deployment after the image URI and IAM role are known. Provides deploy.py for real-time endpoints and deploy_async.py for async endpoints (with genuine scale-to-zero support). This is the last step in the SageMaker deployment workflow. Never generate a bare `create_endpoint` call without these defaults — endpoints without autoscaling or alarms are demos, not deployments.	user_agents	hf-cloud-sagemaker-production-defaults	/Users/bilibili/.agents/skills/hf-cloud-sagemaker-production-defaults/SKILL.md	3157f85b10524e713441ce14086e99f63da5a5409d7bb7d3212069419e72293d	18896	True		
hf-cloud-serving-image-selection	"Pick the right serving container for a SageMaker model deployment and find its current image URI. Use this skill whenever about to deploy a model to a SageMaker endpoint and an image URI needs to be chosen — including when the user says ""deploy this LLM"", ""host this HuggingFace model"", ""serve this fine-tuned model"", ""deploy this embedding model"", ""host a reranker"", ""serve a sentence-transformers model"", or when about to hardcode any container URI in deployment code. HuggingFace-curated Deep Learning Containers are ALWAYS preferred: HuggingFace vLLM (LLMs and generative rerankers), HuggingFace vLLM-Omni (multimodal), TEI (embeddings/cross-encoder rerankers), HF Inference Toolkit (other transformers). Generic images (AWS vLLM, DJL-LMI, SGLang) are used only when no HuggingFace image is compatible — never merely because they carry a newer version. Never hardcode a container URI from memory and never default to TGI. Prevents stale-image failures and wrong-region URIs."	user_agents	hf-cloud-serving-image-selection	/Users/bilibili/.agents/skills/hf-cloud-serving-image-selection/SKILL.md	66e1b95d8bba2117300b6392eeb89500ba7aed7a175733479d7985c7178c4574	17970	True		
hf-mem	Hugging Face CLI to estimate the required memory to load Safetensors or GGUF model weights for inference from the Hugging Face Hub	user_agents	hf-mem	/Users/bilibili/.agents/skills/hf-mem/SKILL.md	ee99f9d97e084aa61a80eaec4e6de2265341e71256d918d48fb87a2ac01ce99f	3325	True		
hook-development	"This skill should be used when the user asks to ""create a hook"", ""add a PreToolUse/PostToolUse/Stop hook"", ""validate tool use"", ""implement prompt-based hooks"", ""use ${CLAUDE_PLUGIN_ROOT}"", ""set up event-driven automation"", ""block dangerous commands"", or mentions hook events (PreToolUse, PostToolUse, Stop, SubagentStop, SessionStart, SessionEnd, UserPromptSubmit, PreCompact, Notification). Provides comprehensive guidance for creating and implementing Codex plugin hooks with focus on advanced prompt-based hooks API."	user_agents	hook-development	/Users/bilibili/.agents/skills/hook-development/SKILL.md	3db8b26f91d0023caeee6e6e22de896067312423f24f55fbc914260e0247ca06	16165	True		
huggingface-best	"Use when the user asks about finding the best, top, or recommended model for a task, wants to know what AI model to use, or wants to compare models by benchmark scores. Triggers on: ""best model for X"", ""what model should I use for"", ""top models for [task]"", ""which model runs on my laptop/machine/device"", ""recommend a model for"", ""what LLM should I use for"", ""compare models for"", ""what's state of the art for"", or any question about choosing an AI model for a specific use case. Always use this skill when the user wants model recommendations or comparisons, even if they don't explicitly mention HuggingFace or benchmarks."	user_agents	huggingface-best	/Users/bilibili/.agents/skills/huggingface-best/SKILL.md	156a85e1e6e6c7502dea17e692c7ef7273595051d6f774ddbf055bc590bf53af	5851	True		
huggingface-community-evals	Run evaluations for Hugging Face Hub models using inspect-ai and lighteval on local hardware. Use for backend selection, local GPU evals, and choosing between vLLM / Transformers / accelerate. Not for HF Jobs orchestration, model-card PRs, .eval_results publication, or community-evals automation.	user_agents	huggingface-community-evals	/Users/bilibili/.agents/skills/huggingface-community-evals/SKILL.md	a97f1c703f55b72427453a76af858237e6392a447fcafa9eeb85f7ac67f0155d	6552	True		
huggingface-datasets	Use this skill for Hugging Face Dataset Viewer API workflows that fetch subset/split metadata, paginate rows, search text, apply filters, download parquet URLs, and read size or statistics.	user_agents	huggingface-datasets	/Users/bilibili/.agents/skills/huggingface-datasets/SKILL.md	eeca50adf211ea64a288b852938f85a5183b045c720dc696b62db9aa2ea8deb2	4671	True		
huggingface-gradio	Build Gradio web UIs and demos in Python. Use when creating or editing Gradio apps, components, event listeners, layouts, or chatbots.	user_agents	huggingface-gradio	/Users/bilibili/.agents/skills/huggingface-gradio/SKILL.md	ce41c656e364a8027755a520372448036d90811f5a1d377f02bb9d549c0865a9	24741	True		
huggingface-llm-trainer	Train or fine-tune language and vision models using TRL (Transformer Reinforcement Learning) or Unsloth with Hugging Face Jobs infrastructure. Covers SFT, DPO, GRPO and reward modeling training methods, plus GGUF conversion for local deployment. Includes guidance on the TRL Jobs package, UV scripts with PEP 723 format, dataset preparation and validation, hardware selection, cost estimation, Trackio monitoring, Hub authentication, model selection/leaderboards and model persistence. Use for tasks involving cloud GPU training, GGUF conversion, or when users mention training on Hugging Face Jobs without local GPU setup.	user_agents	huggingface-llm-trainer	/Users/bilibili/.agents/skills/huggingface-llm-trainer/SKILL.md	fb5c5e25103e38226e4d8ae28db84a01de42a11da4be1918fa72f833699f9d0d	28780	True		
huggingface-local-models	Use to select models to run locally with llama.cpp and GGUF on CPU, Mac Metal, CUDA, or ROCm. Covers finding GGUFs, quant selection, running servers, exact GGUF file lookup, conversion, and OpenAI-compatible local serving.	user_agents	huggingface-local-models	/Users/bilibili/.agents/skills/huggingface-local-models/SKILL.md	814640db1d5f2f274aec09d66b3589ed5a0fdcfaf536afd508b1d757dcae1534	3780	True		
huggingface-lora-space-builder	Build and publish a Gradio demo on Hugging Face Spaces for a user-provided LoRA. Use when someone asks to create, generate, ship, or publish a Space, demo, Gradio app, or playground for a LoRA — including LoRAs for Qwen-Image, Qwen-Image-Edit, LTX-Video, Wan, FLUX, SDXL, or other diffusion base models. Also triggers when someone describes a LoRA they trained or hosts on the Hub and wants to share it. Covers picking the right base pipeline and `diffusers` inference recipe, designing a UI tailored to the LoRA's task and inputs (Union/multi-task control, edit, video, image, etc.), respecting model-card recommendations (trigger words, steps, guidance, LoRA scale, example inputs), and shipping to ZeroGPU hardware as a private Space by default.	user_agents	huggingface-lora-space-builder	/Users/bilibili/.agents/skills/huggingface-lora-space-builder/SKILL.md	358671954b85526361270afed3ad7fd7f27783671339124e6a0e021f530fae2c	33127	True		
huggingface-paper-publisher	Publish and manage research papers on Hugging Face Hub. Supports creating paper pages, linking papers to models/datasets, claiming authorship, and generating professional markdown-based research articles.	user_agents	huggingface-paper-publisher	/Users/bilibili/.agents/skills/huggingface-paper-publisher/SKILL.md	04b59406cf88054ab365f5bbbc57fe2e2fcb369e942dff2841c4f4297318c353	16704	True		
huggingface-papers	Look up and read Hugging Face paper pages in markdown, and use the papers API for structured metadata such as authors, linked models/datasets/spaces, Github repo and project page. Use when the user shares a Hugging Face paper page URL, an arXiv URL or ID, or asks to summarize, explain, or analyze an AI research paper.	user_agents	huggingface-papers	/Users/bilibili/.agents/skills/huggingface-papers/SKILL.md	985c2d5c7261aba2b157811cde0c2b30134663694a4ab701280de28f941eb3b2	9348	True		
huggingface-spaces	Build, deploy, and maintain applications on Hugging Face Spaces — Gradio / Docker / Static SDKs, ZeroGPU and dedicated hardware, model loading, debugging, buckets, inference providers, community grants. Use whenever the user asks to create or host an app on Hugging Face, port code onto ZeroGPU, fix a Space that won't build or run, or otherwise work with `hf spaces …`, `@spaces.GPU`, Space README frontmatter, or the `spaces` Python package.	user_agents	huggingface-spaces	/Users/bilibili/.agents/skills/huggingface-spaces/SKILL.md	0d01b1357bbbf761b5555fb84c94b04be56ee083d7cfb28fa7a82e2bf96d1c07	16767	True		
huggingface-tool-builder	Use this skill when the user wants to build tool/scripts or achieve a task where using data from the Hugging Face API would help. This is especially useful when chaining or combining API calls or the task will be repeated/automated. This Skill creates a reusable script to fetch, enrich or process data.	user_agents	huggingface-tool-builder	/Users/bilibili/.agents/skills/huggingface-tool-builder/SKILL.md	2846b591259b134a5978073e4da477a06275d7a10893ce1383a0a3920c3ff1e1	5905	True		
huggingface-trackio	Track and visualize ML training experiments with Trackio. Use when logging metrics during training (Python API), firing alerts for training diagnostics, or retrieving/analyzing logged metrics (CLI). Supports real-time dashboard visualization, alerts with webhooks, HF Space syncing, and JSON output for automation.	user_agents	huggingface-trackio	/Users/bilibili/.agents/skills/huggingface-trackio/SKILL.md	540f52974f4f77c2455a7b37ed983da0dbfb0f5af3d2c482e4736f14f1cc8724	5128	True		
huggingface-vision-trainer	Trains and fine-tunes vision models for object detection (D-FINE, RT-DETR v2, DETR, YOLOS), image classification (timm models — MobileNetV3, MobileViT, ResNet, ViT/DINOv3 — plus any Transformers classifier), and SAM/SAM2 segmentation using Hugging Face Transformers on Hugging Face Jobs cloud GPUs. Covers COCO-format dataset preparation, Albumentations augmentation, mAP/mAR evaluation, accuracy metrics, SAM segmentation with bbox/point prompts, DiceCE loss, hardware selection, cost estimation, Trackio monitoring, and Hub persistence. Use when users mention training object detection, image classification, SAM, SAM2, segmentation, image matting, DETR, D-FINE, RT-DETR, ViT, timm, MobileNet, ResNet, bounding box models, or fine-tuning vision models on Hugging Face Jobs.	user_agents	huggingface-vision-trainer	/Users/bilibili/.agents/skills/huggingface-vision-trainer/SKILL.md	c7aba4de75fa6595ffdaf5c50136786e8346aba0c9ff0261eaee656af4a3b0d9	30195	True		
huggingface-zerogpu	AI demos and GPU compute with Gradio Spaces and Hugging Face Spaces ZeroGPU. Use when writing or reviewing code that uses `@spaces.GPU`, configuring `python_version` or `requirements.txt` for a ZeroGPU Space, or handling ZeroGPU-specific code constraints — pickle-based process isolation, `gr.State` semantics across the worker boundary, no `torch.compile` (use AoTI instead), CUDA wheel-only builds (no `nvcc` at build or runtime), large vs xlarge sizing, and dynamic duration callables. Make sure to use this skill whenever the user mentions ZeroGPU, `@spaces.GPU`, or the `spaces` Python package, or hits ZeroGPU-specific code errors like `PicklingError` across the worker boundary, `illegal duration`, or `flash-attn` wheel-build failures — even when the user does not explicitly ask for ZeroGPU coding guidance. Trigger on `import spaces` or `@spaces.GPU` in code.	user_agents	huggingface-zerogpu	/Users/bilibili/.agents/skills/huggingface-zerogpu/SKILL.md	829659aec34224970fe7ed619729fdc7849fc5dd696e2000256c3ee0b517eff7	18278	True		
kaggle-learner	"This skill should be used when the user asks to ""learn from Kaggle"", ""study Kaggle solutions"", ""analyze Kaggle competitions"", or mentions Kaggle competition URLs. Provides access to extracted knowledge from winning Kaggle solutions across NLP, CV, time series, tabular, and multimodal domains."	user_agents	kaggle-learner	/Users/bilibili/.agents/skills/kaggle-learner/SKILL.md	555c52d089913363ae3efb4a619911d20c2fe89b811c90188430d5c166332f60	4537	True		
latex-conference-template-organizer	"Organize messy conference LaTeX template .zip files into clean Overleaf-ready structure. Use when the user asks to ""organize LaTeX template"", ""clean up .zip template"", or ""prepare Overleaf submission template""."	user_agents	latex-conference-template-organizer	/Users/bilibili/.agents/skills/latex-conference-template-organizer/SKILL.md	3042069e385f515be086ea8f3aff7b3ef68570a54648f62182645ef9da19e0f5	14151	True		
mcp-integration	"This skill should be used when the user asks to ""add MCP server"", ""integrate MCP"", ""configure MCP in plugin"", ""use .mcp.json"", ""set up Model Context Protocol"", ""connect external service"", mentions ""${CLAUDE_PLUGIN_ROOT} with MCP"", or discusses MCP server types (SSE, stdio, HTTP, WebSocket). Provides comprehensive guidance for integrating Model Context Protocol servers into Codex plugins for external tool and service integration."	user_agents	mcp-integration	/Users/bilibili/.agents/skills/mcp-integration/SKILL.md	c5b11e3af51cc23f8fdfa5a97512e27df95236334f3755c6005322d86260d474	12448	True		
ml-paper-writing	Write publication-ready ML/AI papers for NeurIPS, ICML, ICLR, ACL, AAAI, COLM. Use when drafting papers from research repos, conducting literature reviews, finding related work, verifying citations, or preparing camera-ready submissions. Includes LaTeX templates, citation verification workflows, and paper discovery/evaluation criteria.	user_agents	ml-paper-writing	/Users/bilibili/.agents/skills/ml-paper-writing/SKILL.md	f64f75f201db96769c131863c74df19456e3b05dcf6a79850354c4680e043c8d	44112	True		
nature-data	Prepare, audit, or revise Nature-ready Data Availability statements, data repository plans, dataset citations, and FAIR metadata checklists for manuscripts. Use when the user asks about Nature data availability, research data sharing, repository selection, accession numbers, restricted or sensitive data, source data, supplementary datasets, DataCite-style dataset references, FAIR metadata for academic publication, or Chinese-to-English data availability wording for Chinese-speaking authors preparing Nature-family submissions.	user_agents	nature-data	/Users/bilibili/.agents/skills/nature-data/SKILL.md	16761a2d6aef2a28f25b4eb443c4d47d7e393d4de525b11793b72452f1d116d8	6320	True		
nature-polishing	Polish, restructure, or translate academic prose into Nature-leaning English using writing-strategy principles, curated Nature/Nature Communications article patterns, and phrase-level support from Academic Phrasebank. Use whenever the user asks to polish a manuscript paragraph, abstract, introduction, results, discussion, conclusion, title, methods section, or Chinese academic draft for publication-quality English.	user_agents	nature-polishing	/Users/bilibili/.agents/skills/nature-polishing/SKILL.md	946eeed13b86805fbd926e6adc25c84d825e3726f001a11175b9ad277e3a2792	13812	True		
nature-response	Draft, audit, or revise point-by-point reviewer response letters for Nature-family manuscript revisions. Use when the user provides reviewer comments, editor decision letters, revision notes, response drafts, or asks how to respond to major/minor revision requests, rebuttal letters, response to reviewers, peer-review reports, 审稿意见回复, 逐点回复, 修回信, 大修回复, 小修回复, or 如何回复 reviewer.	user_agents	nature-response	/Users/bilibili/.agents/skills/nature-response/SKILL.md	9521d5cd6d66b331a635dda21608fc9546d0ef10140d3cfa28f1acb11c0da159	6433	True		
nature-writing	Draft, restructure, or plan Nature-style manuscript sections from author-provided claims, results, figures, notes, or Chinese drafts. Use when the user wants to write or rebuild an abstract, introduction, results narrative, discussion, conclusion, title, or full manuscript argument rather than only polish finished prose.	user_agents	nature-writing	/Users/bilibili/.agents/skills/nature-writing/SKILL.md	9cf73605a225fd17d1ee191c5f8f978a198902eeb3ff467edc7de38bfdbeae4c	6961	True		
obsidian-kb-artifacts	Use this skill for Obsidian-native formatting and derived artifacts such as Markdown formatting, wikilinks, registry tables, canvas files, optional Bases, CLI operations, and link repair. This skill does not decide knowledge routing.	user_agents	obsidian-kb-artifacts	/Users/bilibili/.agents/skills/obsidian-kb-artifacts/SKILL.md	14f01b72484904ae2eab93e159fdfcf7a631d5deb36eeff7fe057214404bad6e	1210	True		
obsidian-literature-workflow	Use this skill for project-scoped literature review built on Sources/Papers, with synthesis landing in Knowledge, writing handoff in Writing, and the default literature canvas under Maps/literature.canvas.	user_agents	obsidian-literature-workflow	/Users/bilibili/.agents/skills/obsidian-literature-workflow/SKILL.md	63f63a1a1465d450e53c3cd8baa970391fefdf5617db9ba63e724553f5e83ad7	1724	True		
obsidian-project-kb-core	Use this as the main Codex Scholar skill for a vault-first, project-scoped Obsidian research knowledge base rooted at Research/{project-slug}/. It owns bootstrap, routing, daily logging, hub/plan/index maintenance, registry updates, lifecycle actions, and lint orchestration.	user_agents	obsidian-project-kb-core	/Users/bilibili/.agents/skills/obsidian-project-kb-core/SKILL.md	4344b51f7f2d2eb05cd96a8326cc7eb8e751632aaf13405cfb63f61e9cba6303	2202	True		
obsidian-source-ingestion	Use this skill to ingest external materials into the current project-scoped Obsidian KB as source notes under Sources/Papers, Sources/Web, Sources/Docs, Sources/Data, Sources/Interviews, or Sources/Notes.	user_agents	obsidian-source-ingestion	/Users/bilibili/.agents/skills/obsidian-source-ingestion/SKILL.md	c55bedd1b18ec410b6499d3776df5074a5a12a04f8829292e5174fd13aa86a2b	1017	False	False	
paper-self-review	"This skill should be used when the user asks to ""review paper quality"", ""check paper completeness"", ""validate paper structure"", ""self-review before submission"", ""audit claims"", ""check overclaiming"", ""verify whether results support claims"", or mentions systematic paper quality checking. Provides comprehensive quality assurance checklist for academic papers."	user_agents	paper-self-review	/Users/bilibili/.agents/skills/paper-self-review/SKILL.md	e9c0040db7394e537becb5209f1b0100eb1267fbf1c540a2da07d7876cb93a41	6032	True		
pdf-converter	PDF converter powered by MinerU — convert PDF to Word, Markdown, HTML, LaTeX, or plain text. Also handles image-to-text OCR, scanned document recognition, and Office formats (DOCX, PPTX, Excel). Supports 80+ languages. Use this skill when the user wants to convert, extract, read, parse, or summarize any PDF or document. Also applies when the user shares a PDF file or link and asks about its content, needs tables or formulas extracted, wants PDF OCR, or says things like 'turn this into a doc' or 'what does this paper say'.	user_agents	pdf-converter	/Users/bilibili/.agents/skills/pdf-converter/SKILL.md	3cb406e81b2ea2ae1287463562c0f14d7ae5b55682001d4b6c9d659da768ce94	7149	True		
planning-with-files	Use this by default for non-trivial multi-step work that needs persistent planning, progress tracking, or durable notes on disk. Trigger when a task will likely span multiple tool calls, research steps, verification loops, or enough context that the plan should not live only in transient chat memory.	user_agents	planning-with-files	/Users/bilibili/.agents/skills/planning-with-files/SKILL.md	6b527bee3d60e5f57c255c194aeb7b56e0bf429400a6be6191df6d70698ca9c6	4290	True		
plugin-structure	"This skill should be used when the user asks to ""create a plugin"", ""scaffold a plugin"", ""understand plugin structure"", ""organize plugin components"", ""set up plugin.json"", ""use ${CLAUDE_PLUGIN_ROOT}"", ""add commands/agents/skills/hooks"", ""configure auto-discovery"", or needs guidance on plugin directory layout, manifest configuration, component organization, file naming conventions, or Codex plugin architecture best practices."	user_agents	plugin-structure	/Users/bilibili/.agents/skills/plugin-structure/SKILL.md	2d4d22e28bf09e804c14c7e5ad3529d766634402130b103cce0789236a3c2094	13696	True		
post-acceptance	"This skill should be used when the user asks to ""prepare conference presentation"", ""create presentation slides"", ""design poster"", ""make academic poster"", ""write promotion content"", ""create Twitter thread"", or mentions post-acceptance conference preparation. Provides comprehensive workflow for presentation, poster, and promotion content creation."	user_agents	post-acceptance	/Users/bilibili/.agents/skills/post-acceptance/SKILL.md	1d3432e6bff94c61779df9fea3c719ed425bf6fe90e8acb0366a7f1c51e6401e	4863	True		
publication-chart-skill	This skill should be used when the user asks for a publication-quality scientific figure or table, wants help choosing the right chart for results, needs a paper-ready pubfig or pubtab workflow, wants a figure + companion table for a results section, wants an Excel sheet turned into publication-ready LaTeX, or wants an existing scientific figure/table reviewed and upgraded.	user_agents	publication-chart-skill	/Users/bilibili/.agents/skills/publication-chart-skill/SKILL.md	dd95ca64069b85bd7dddb99bc5ad0762bfb402106524b22eb85973fa255a5d87	13221	True		
research-ideation	"This skill should be used when the user asks to ""brainstorm research ideas"", ""use 5W1H framework"", ""identify research gaps"", ""conduct gap analysis"", ""start research project"", ""conduct literature review"", ""define research question"", ""select research method"", ""plan research"", or mentions research project initiation phase. Provides comprehensive guidance for research startup workflow from idea generation to planning."	user_agents	research-ideation	/Users/bilibili/.agents/skills/research-ideation/SKILL.md	a3968badb5fe308e0b56e30175365974e578525009ddbed94030fe970f165761	11868	True		
